Código_Departamento;Departamento;Departamentos_Colombia;Link
5;ANTIOQUIA;ANTIOQUIA, colombia, co;https://lh3.googleusercontent.com/d/1dEPCc15zyLW99eNG-KIX6eO4bUKiQ22c
8;ATLÁNTICO;ATLÁNTICO, colombia, co;https://lh3.googleusercontent.com/d/1yOpZ0R-OlFRsUAaC8Yum8sN4GQ1rOh1i
11;BOGOTÁ, D.C.;BOGOTÁ, D.C., colombia, co;https://lh3.googleusercontent.com/d/1zvPuqMRg0Ptjgtzn74b-0IL1nIglW9GE
13;BOLÍVAR;BOLÍVAR, colombia, co;https://lh3.googleusercontent.com/d/
15;BOYACÁ;BOYACÁ, colombia, co;https://lh3.googleusercontent.com/d/
17;CALDAS;CALDAS, colombia, co;https://lh3.googleusercontent.com/d/
18;CAQUETÁ;CAQUETÁ, colombia, co;https://lh3.googleusercontent.com/d/
19;CAUCA;CAUCA, colombia, co;https://lh3.googleusercontent.com/d/
20;CESAR;CESAR, colombia, co;https://lh3.googleusercontent.com/d/
23;CÓRDOBA;CÓRDOBA, colombia, co;https://lh3.googleusercontent.com/d/
25;CUNDINAMARCA;CUNDINAMARCA, colombia, co;https://lh3.googleusercontent.com/d/1zvPuqMRg0Ptjgtzn74b-0IL1nIglW9GE
27;CHOCÓ;CHOCÓ, colombia, co;https://lh3.googleusercontent.com/d/
41;HUILA;HUILA, colombia, co;https://lh3.googleusercontent.com/d/
44;LA GUAJIRA;LA GUAJIRA, colombia, co;https://lh3.googleusercontent.com/d/
47;MAGDALENA;MAGDALENA, colombia, co;https://lh3.googleusercontent.com/d/
50;META;META, colombia, co;https://lh3.googleusercontent.com/d/
52;NARIÑO;NARIÑO, colombia, co;https://lh3.googleusercontent.com/d/
54;NORTE DE SANTANDER;NORTE DE SANTANDER, colombia, co;https://lh3.googleusercontent.com/d/
63;QUINDÍO;QUINDÍO, colombia, co;https://lh3.googleusercontent.com/d/
66;RISARALDA;RISARALDA, colombia, co;https://lh3.googleusercontent.com/d/
68;SANTANDER;SANTANDER, colombia, co;https://lh3.googleusercontent.com/d/
70;SUCRE;SUCRE, colombia, co;https://lh3.googleusercontent.com/d/
73;TOLIMA;TOLIMA, colombia, co;https://lh3.googleusercontent.com/d/
76;VALLE DEL CAUCA;VALLE DEL CAUCA, colombia, co;https://lh3.googleusercontent.com/d/
81;ARAUCA;ARAUCA, colombia, co;https://lh3.googleusercontent.com/d/
85;CASANARE;CASANARE, colombia, co;https://lh3.googleusercontent.com/d/
86;PUTUMAYO;PUTUMAYO, colombia, co;https://lh3.googleusercontent.com/d/
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA, colombia, co;https://lh3.googleusercontent.com/d/
91;AMAZONAS;AMAZONAS, colombia, co;https://lh3.googleusercontent.com/d/
94;GUAINÍA;GUAINÍA, colombia, co;https://lh3.googleusercontent.com/d/
95;GUAVIARE;GUAVIARE, colombia, co;https://lh3.googleusercontent.com/d/
97;VAUPÉS;VAUPÉS, colombia, co;https://lh3.googleusercontent.com/d/
99;VICHADA;VICHADA, colombia, co;https://lh3.googleusercontent.com/d/
