Departamento,Código_Departamento,Programa,Código_Programa,Año_Asignación,Hogares,Valor_Asignado
AMAZONAS,91,Bolsa Desastres Naturales,174,2008,37,336984900.0
AMAZONAS,91,Bolsa Desplazados,162,2009,3,18633750.0
AMAZONAS,91,Bolsa Ordinaria,168,2003,1,5280000.0
AMAZONAS,91,Bolsa Ordinaria,168,2003,2,12049000.0
AMAZONAS,91,Habilitación de Titulos,180,2005,215,22790000.0
AMAZONAS,91,Programa Vivienda Gratuita Fase I,165,2015,95,5315956800.0
AMAZONAS,91,Programa Vivienda Gratuita Fase I,165,2015,2,111914880.0
AMAZONAS,91,Programa Vivienda Gratuita Fase II,170,2020,6,510869759.0
AMAZONAS,91,Bolsa Desplazados,162,2004,1,4475000.0
ANTIOQUIA,5,Bolsa Atentados terroristas,173,2007,2,18215400.0
ANTIOQUIA,5,Bolsa Desplazados,162,2006,3,30600000.0
ANTIOQUIA,5,Bolsa Desplazados,162,2008,18,212014750.0
ANTIOQUIA,5,Bolsa Desplazados,162,2009,2,29814000.0
ANTIOQUIA,5,Bolsa Desplazados,162,2010,5,70812500.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,165,2014,33,1219680000.0
ANTIOQUIA,5,MI CASA YA,161,2024,1,39000000.0
ANTIOQUIA,5,Bolsa Desplazados,162,2010,1,15450000.0
ANTIOQUIA,5,MI CASA YA,161,2023,1,23200000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2003,1,7107000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2007,3,24034500.0
ANTIOQUIA,5,MI CASA YA,161,2017,1,14754340.0
ANTIOQUIA,5,MI CASA YA,161,2021,1,18170520.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,165,2014,50,1848000000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,165,2015,23,813510000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,165,2015,1,35370000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,165,2015,1,35370000.0
ANTIOQUIA,5,Semillero de Propietarios Arriendo,163,2022,2,30689280.0
ANTIOQUIA,5,Bolsa Desplazados,162,2011,1,9373000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2007,13,100750000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2007,11,85250000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2007,2,15500000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase II,170,2023,9,784265418.0
ANTIOQUIA,5,Bolsa Desplazados,162,2009,1,14907000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,166,2010,1,10931800.0
ANTIOQUIA,5,MI CASA YA,161,2017,1,14754340.0
ANTIOQUIA,5,MI CASA YA,161,2017,1,14754340.0
ANTIOQUIA,5,MI CASA YA,161,2019,1,16562320.0
ANTIOQUIA,5,MI CASA YA,161,2019,1,16562320.0
