Código_Departamento;Departamento;Departamentos_Colombia;Link
5;ANTIOQUIA;ANTIOQUIA, colombia, co;https://lh3.googleusercontent.com/d/1dEPCc15zyLW99eNG-KIX6eO4bUKiQ22c
8;ATLÁNTICO;ATLÁNTICO, colombia, co;https://lh3.googleusercontent.com/d/1yOpZ0R-OlFRsUAaC8Yum8sN4GQ1rOh1i
11;BOGOTÁ, D.C.;BOGOTÁ, D.C., colombia, co;https://lh3.googleusercontent.com/d/1zvPuqMRg0Ptjgtzn74b-0IL1nIglW9GE
13;BOLÍVAR;BOLÍVAR, colombia, co;https://lh3.googleusercontent.com/d/1EmAbjxi75Mnh1Dfb2GvZPPMx5-W0uvhI
15;BOYACÁ;BOYACÁ, colombia, co;https://lh3.googleusercontent.com/d/17xmbgUOHobw08d4sje2bwx58kI8wmtU0
17;CALDAS;CALDAS, colombia, co;https://lh3.googleusercontent.com/d/1313yt6zwI8UtmYjJOjOi_W6hAK8b8E5s
18;CAQUETÁ;CAQUETÁ, colombia, co;https://lh3.googleusercontent.com/d/1IldqX1hvQDs-vYALfMtfY_BBL2aoUljq
19;CAUCA;CAUCA, colombia, co;https://lh3.googleusercontent.com/d/1iwhDIcsBoGqG75RYBxS05-QgVNGH9nh9
20;CESAR;CESAR, colombia, co;https://lh3.googleusercontent.com/d/1oVxuzm2FRalrc4DyqblaNsNsAJ258Y2E
23;CÓRDOBA;CÓRDOBA, colombia, co;https://lh3.googleusercontent.com/d/1nDxgSuSjZECcbBc0fneaU8CaLXcbBaKU
25;CUNDINAMARCA;CUNDINAMARCA, colombia, co;https://lh3.googleusercontent.com/d/1zvPuqMRg0Ptjgtzn74b-0IL1nIglW9GE
27;CHOCÓ;CHOCÓ, colombia, co;https://lh3.googleusercontent.com/d/1BDcpGnjLao6Y8U1J57TWaQU6CZrhrJHp
41;HUILA;HUILA, colombia, co;https://lh3.googleusercontent.com/d/17VPw1i2uXgoZ3AdN--4MNJyqQyjs1mwc
44;LA GUAJIRA;LA GUAJIRA, colombia, co;https://lh3.googleusercontent.com/d/1ItU10-3s9Y9WJXRP_Cmz8jBpKTFKc4HK
47;MAGDALENA;MAGDALENA, colombia, co;https://lh3.googleusercontent.com/d/1f4gnSrMilhvp9xI_9dh-a4zed-Ld4YRJ
50;META;META, colombia, co;https://lh3.googleusercontent.com/d/1WRQmm42YeOjB06qM56C0VQM5IiA-d_Gn
52;NARIÑO;NARIÑO, colombia, co;https://lh3.googleusercontent.com/d/1GeJj5pLPSsrpO2_Amnq4EDaG6hr6VtkH
54;NORTE DE SANTANDER;NORTE DE SANTANDER, colombia, co;https://lh3.googleusercontent.com/d/1ynf9IfPnvlKKL93kLTatLd89o3NtXg6R
63;QUINDÍO;QUINDÍO, colombia, co;https://lh3.googleusercontent.com/d/1qedJvgvUJQsOuoBgrVElbyVpIvd_SrgY
66;RISARALDA;RISARALDA, colombia, co;https://lh3.googleusercontent.com/d/1RXYtL8Bb38h5Yn0-c8WEKV1vAK1L6cu0
68;SANTANDER;SANTANDER, colombia, co;https://lh3.googleusercontent.com/d/1MZW89nt36ezygfaiy-OzxiKESnkKI2pr
70;SUCRE;SUCRE, colombia, co;https://lh3.googleusercontent.com/d/1UaGUumK73-q74xK0UzRNtpMkqmjof7_r
73;TOLIMA;TOLIMA, colombia, co;https://lh3.googleusercontent.com/d/1PSaMaP5BPmbnrUlugd5ix_TrxcaPRBI0
76;VALLE DEL CAUCA;VALLE DEL CAUCA, colombia, co;https://lh3.googleusercontent.com/d/1Yp3ZyJslFQeVQ3spVkQ3rGJ8cbpSsfDi
81;ARAUCA;ARAUCA, colombia, co;https://lh3.googleusercontent.com/d/15URJcfaNU53clebB50GliAcy9nszgwpp
85;CASANARE;CASANARE, colombia, co;https://lh3.googleusercontent.com/d/1XyMHyBL1TCnaBSBRJ38CqpUjcAj6MKrk
86;PUTUMAYO;PUTUMAYO, colombia, co;https://lh3.googleusercontent.com/d/1j2Cr5mOx5htmkNv2zuX6eSD5gk25iFIw
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA, colombia, co;https://lh3.googleusercontent.com/d/17r8MAkuZUaDo0DFoYEUMDpmzfQDPBQPD
91;AMAZONAS;AMAZONAS, colombia, co;https://lh3.googleusercontent.com/d/1tZi-QeVMSxCdo4TO5rpOQGUq3HrT_DwQ
94;GUAINÍA;GUAINÍA, colombia, co;https://lh3.googleusercontent.com/d/1K29jg_eyZfZHWStYpz4frMwvsWoLkijw
95;GUAVIARE;GUAVIARE, colombia, co;https://lh3.googleusercontent.com/d/1YJG4pEUWhks9VaExqOy9tcv1r0yg_j-3
97;VAUPÉS;VAUPÉS, colombia, co;https://lh3.googleusercontent.com/d/10VaHV6y7m5TzQZomDolp0PmXB6qlWDgk
99;VICHADA;VICHADA, colombia, co;https://lh3.googleusercontent.com/d/16NTqiOvd-qkBv39gTzmN4XTNEXMIs193
